Serie,Diameter,Locatie nr,Uniek.nummer,x,y,Opnamenr.,Jaar,In,Opname,Uit,Dagen,Tijd,Totaal dagen uit,Geslacht,Leeftijdsfase,Opmerkingen,Camera,Totaal aantal opnames,Seizoen
31,8,11,M18.16,203846,449784,3,2018,15/09/2018,22/09/2018,05/10/2018,7,19:42,20,?,adult,,Bushnell Throphy Cam HD Essential E3,,summer
31,8,11,M18.16,203846,449784,4,2018,15/09/2018,26/09/2018,05/10/2018,11,07:52,20,man,adult,,Bushnell Throphy Cam HD Essential E3,,autumn
31,8,11,M18.16,203846,449784,5,2018,15/09/2018,28/09/2018,05/10/2018,13,15:35,20,?vr,adult,,Bushnell Throphy Cam HD Essential E3,,autumn
31,8,11,M18.16,203846,449784,6,2018,15/09/2018,29/09/2018,05/10/2018,14,21:11,20,man,adult,,Bushnell Throphy Cam HD Essential E3,,autumn
31,8,11,M18.16,203846,449784,7,2018,15/09/2018,30/09/2018,05/10/2018,15,17:10,20,vro,adult,,Bushnell Throphy Cam HD Essential E3,,autumn
31,8,11,M18.16,203846,449784,8,2018,15/09/2018,03/10/2018,05/10/2018,18,04:21,20,vro,adult,,Bushnell Throphy Cam HD Essential E3,,autumn
31,8,11,M18.16,203846,449784,9,2018,15/09/2018,05/10/2018,05/10/2018,20,11:17,20,?,?,,Bushnell Throphy Cam HD Essential E3,,autumn
33,8,12,M18.17,204012,449861,1,2018,04/05/2018,05/05/2018,14/06/2018,1,06:43,41,vro,adult,,Bushnell Throphycam HD,8,spring
33,8,12,M18.17,204012,449861,2,2018,04/05/2018,22/05/2018,14/06/2018,32,20:14,41,man,adult,,Bushnell Throphycam HD,,spring
34,8,12,M18.18,204012,449861,1,2018,14/08/2018,15/08/2018,15/09/2018,1,06:09,32,?,?,,Bushnell Throphy Cam HD Essential E3,146,summer
34,8,12,M18.18,204012,449861,2,2018,14/08/2018,15/08/2018,15/09/2018,1,08:25,32,vro,adult,,Bushnell Throphy Cam HD Essential E3,,summer
34,8,12,M18.18,204012,449861,3,2018,14/08/2018,19/08/2018,15/09/2018,5,19:22,32,vro,adult,,Bushnell Throphy Cam HD Essential E3,,summer
34,8,12,M18.18,204012,449861,4,2018,14/08/2018,20/08/2018,15/09/2018,6,06:52,32,vro,adult,,Bushnell Throphy Cam HD Essential E3,,summer
